66;Mauritius;0.804;74.99;15.0566;9.54;25266.21195
HIGH HUMAN DEVELOPMENT
67;Seychelles;0.796;73.4;14.14966;9.992045;26903.24617
67;Trinidad and Tobago;0.796;73.51;12.96;11.034;26230.71569
69;Albania;0.795;78.57;14.69562;10.14573;13998.29989
70;Cuba;0.783;78.8;14.2809;11.7907808;8620.716216
70;Iran (Islamic Republic of);0.783;76.68;14.81373;10.34749;12446.66645
72;Sri Lanka;0.782;76.98;14.11107;10.63257;12707.36624
73;Bosnia and Herzegovina;0.78;77.4;13.8;9.81787;14871.81114
HUMAN DEVELOPMENT GROUPS
VERY HIGH HUMAN DEVELOPMENT (0.800 or greater);0.898;79.591187866835;16.3118897039721;12.1519129432598;44566.1921502395
HIGH HUMAN DEVELOPMENT (0.700-0.799);0.753;75.3154767381028;13.9878672727111;8.43037819799958;14255.1354256383
MEDIUM HUMAN DEVELOPMENT (0.550-0.699);0.631;69.2995682629733;11.5480752103019;6.3124994777819;6153.4059768492
LOW HUMAN DEVELOPMENT (lower than 0.550);0.513;61.4421308516143;9.41985003369576;4.8529264240118;2744.98343135541
WORLD TOTAL;0.737;72.7524661097682;12.706429625522;8.53274373403993;16733.822570425
The full table can be found at. :;http://hdr.undp.org/en/2020-report
(a)The data are for 2019 or the most recent year available
(b)When calculating the HDI value. the maximum of 18 years of study was used
(*)The Basque Country data is provisional
Source: Eustat. Human Development Index
